Event_Id,Accident_Number,Event_Date,LOCATION,Country,Latitude,Longitude,Injury_Severity,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight
20040306X00287,LAX04CA136,2/15/04,"HONOLULU, HI",United States,21.318611,-157.922223,Non-Fatal,Airplane,N30599,Cessna,177A,No,1,Reciprocating,Personal,Unknown,0,0,0,4,VMC,Landing
20171015X05250,DCA18CA007,10/15/17,"HONOLULU, HI",United States,21.317778,-157.920278,Non-Fatal,Airplane,N342AX,Boeing,767 328,No,2,Unknown,Positioning,Unknown,0,1,0,Unknown,Unknown,Unknown
20150416X52908,WPR15LA148,4/3/15,"HONOLULU, HI",United States,21.317778,-157.920278,Non-Fatal,Airplane,N245RB,Cessna,206H,No,1,Reciprocating,Positioning,Unknown,0,0,0,2,VMC,Landing
20170630X02103,WPR17LA138,6/30/17,"HONOLULU, HI",United States,21.316667,-157.916667,Non-Fatal,Airplane,N4244T,Piper,PA 28-140,No,1,Reciprocating,Personal,Unknown,0,3,0,Unknown,VMC,Takeoff
20140304X53448,WPR14CA129,2/27/14,"MOLOKAI, HI",United States,21.311667,-157.916667,Non-Fatal,Airplane,N947MZ,Partenavia S.p.a.,P 68 OBSERVER,No,2,Reciprocating,Personal,Unknown,0,0,0,1,VMC,Approach
20120719X95843,WPR12LA314,6/6/12,"HILO, HI",United States,21.289444,-157.908889,Non-Fatal,Airplane,N73466,Cessna,182R,No,1,Reciprocating,Unknown,Unknown,0,0,0,1,Unknown,Unknown
20181212X03941,WPR19LA041,12/12/18,"HONOLULU, HI",United States,21.255278,-157.878889,Non-Fatal,Airplane,N323AX,Hawker,HAWKER HNTR FMK 58,No,1,Unknown,Public Aircraft,Unknown,0,1,0,Unknown,VMC,Climb
20100111X22511,WPR10FA107,1/10/10,"HONOLULU, HI",United States,21.325834,-157.766111,Fatal,Airplane,N8934N,Piper,PA-32-300,No,1,Reciprocating,Personal,Unknown,2,0,0,Unknown,IMC,Approach
20110516X21316,ANC11TA031,5/16/11,"ATQASUK, AK",United States,70.475556,-157.738889,Non-Fatal,Airplane,N786SR,Beech,B200,No,2,Turbo Prop,Public Aircraft - Local,Unknown,0,0,3,Unknown,IMC,Approach
20070723X00993,SEA07CA161,6/15/07,"HONOLULU, HI",United States,21.253333,-157.575556,Non-Fatal,Airplane,N60020,Cessna,150J,No,1,Reciprocating,Personal,Unknown,0,0,0,2,VMC,Cruise
20131001X24022,ANC13CA106,9/28/13,"PILOT POINT, AK",United States,57.580278,-157.571945,Non-Fatal,Airplane,N1592F,Cessna,185E,No,1,Reciprocating,Personal,Unknown,0,0,0,1,VMC,Landing
20080806X01168,ANC08CA086,7/7/08,"PILOT POINT, AK",United States,57.580278,-157.571945,Non-Fatal,Airplane,N81522,Piper,PA-32-301,No,1,Reciprocating,Positioning,Unknown,0,0,0,1,VMC,Unknown
20170117X55850,ANC17TA015,1/16/17,"PILOT POINT, AK",United States,57.495,-157.54,Non-Fatal,Airplane,N4261T,Piper,PA-32,No,1,Reciprocating,Unknown,Van Air Inc (dba: Van Air),0,2,0,Unknown,IMC,Cruise
20140620X20838,ANC14CA044,6/19/14,"EGEGIK, AK",United States,58.273056,-157.5375,Non-Fatal,Airplane,N208SM,Cessna,208B,No,1,Turbo Prop,Positioning,Unknown,0,0,0,1,VMC,Takeoff
